startDate,value,unit,sourceName
2019-06-19 04:52:00 -0800,252.6,lb,Health
2019-03-19 06:43:18 -0800,254,lb,Batphone
2018-12-23 07:37:00 -0800,250.4,lb,Health
2018-12-14 06:33:00 -0800,254.8,lb,Health
2018-11-28 09:00:00 -0800,259.4,lb,Health
2018-11-24 14:04:00 -0800,260,lb,Health
2018-08-19 21:10:00 -0800,257.6,lb,Health
2018-01-02 08:11:00 -0800,247.2,lb,Health
2017-09-16 08:18:00 -0800,245.8,lb,Health
2017-09-15 05:12:00 -0800,245.6,lb,Health
2017-09-14 05:37:00 -0800,246.4,lb,Health
2017-09-12 05:26:00 -0800,248,lb,Health
2017-09-03 06:54:00 -0800,248.4,lb,Health
2017-08-21 06:39:00 -0800,250,lb,Health
2017-08-18 09:06:00 -0800,251.6,lb,Health
2017-08-16 06:16:00 -0800,253,lb,Health
2017-08-07 05:26:00 -0800,252.6,lb,Health
2017-07-31 09:51:00 -0800,254,lb,Health
2017-07-21 08:36:00 -0800,253.6,lb,Health
2017-07-19 19:30:00 -0800,253.6,lb,Health
2017-07-19 19:14:00 -0800,254,lb,Health
2017-07-18 18:13:00 -0800,253.75,lb,Health
2017-07-18 06:45:00 -0800,256,lb,Health
2017-07-16 08:03:00 -0800,255.4,lb,Health
2017-07-13 08:03:00 -0800,256.8,lb,Health
2017-07-11 08:03:00 -0800,259,lb,Health
2017-07-10 08:02:00 -0800,260.6,lb,Health
2016-08-22 08:12:00 -0800,258,lb,Health
2015-10-30 08:01:00 -0800,236.8,lb,Health
2015-10-27 08:03:00 -0800,238.4,lb,Health
2015-07-25 09:34:00 -0800,235.8,lb,Health
2015-07-22 13:39:00 -0800,236.6,lb,Health
2015-07-16 06:08:00 -0800,237.2,lb,Health
2015-07-08 10:21:00 -0800,239,lb,Health
2015-06-30 05:58:00 -0800,238.8,lb,Health
2015-06-24 18:26:00 -0800,240,lb,Health
2015-04-05 07:50:00 -0800,235.4,lb,Health
2015-04-02 09:18:00 -0800,239.6,lb,Health
2015-03-31 06:45:00 -0800,240.8,lb,Health
2015-03-30 07:53:00 -0800,241.8,lb,Health
2015-03-29 19:42:00 -0800,242.6,lb,Health
2015-02-06 08:15:00 -0800,239.6,lb,Health
2015-02-05 09:13:00 -0800,238.6,lb,Health
2015-02-03 07:46:00 -0800,240,lb,Health
2015-01-30 11:23:00 -0800,240.4,lb,Health
2015-01-28 09:57:00 -0800,240,lb,Health
2015-01-27 08:10:00 -0800,239,lb,Health
2015-01-26 09:27:00 -0800,240.4,lb,Health
2015-01-23 10:35:00 -0800,241.5,lb,Health
2015-01-22 09:07:00 -0800,241.8,lb,Health
2015-01-21 09:33:00 -0800,243,lb,Health
2015-01-16 21:07:00 -0800,245.5,lb,Health
